Question acceptedAnswer Answer
Demand gtin13 Text
Offer gtin13 Text
Product gtin14 Text
Demand gtin14 Text
Offer gtin14 Text
Product gtin8 Text
Demand gtin8 Text
Offer gtin8 Text
ShippingDeliveryTime handlingTime QuantitativeValue
Course hasCourseInstance CourseInstance
DeliveryEvent hasDeliveryMethod DeliveryMethod
ParcelDelivery hasDeliveryMethod DeliveryMethod
DigitalDocument hasDigitalDocumentPermission DigitalDocumentPermission
MenuSection hasMenuItem MenuItem
Menu hasMenuItem MenuItem
MenuSection hasMenuSection MenuSection
Menu hasMenuSection MenuSection
Person hasOccupation Occupation
Organization hasOfferCatalog OfferCatalog
Service hasOfferCatalog OfferCatalog
Person hasOfferCatalog OfferCatalog
Organization hasPOS Place
Person hasPOS Place
CreativeWork headline Text
Product height QuantitativeValue
Product height Distance
Person height QuantitativeValue
Person height Distance
VisualArtwork height QuantitativeValue
VisualArtwork height Distance
OfferShippingDetails height QuantitativeValue
OfferShippingDetails height Distance
MediaObject height QuantitativeValue
MediaObject height Distance
AggregateOffer highPrice Text
AggregateOffer highPrice Number
JobPosting hiringOrganization Organization
JobPosting hiringOrganization Person
Person homeLocation ContactPoint
Person homeLocation Place
SportsEvent homeTeam SportsTeam
SportsEvent homeTeam Person
Person honorificPrefix Text
Person honorificSuffix Text
ProgramMembership hostingOrganization Organization
MemberProgram hostingOrganization Organization
ContactPoint hoursAvailable OpeningHoursSpecification
LocationFeatureSpecification hoursAvailable OpeningHoursSpecification
Service hoursAvailable OpeningHoursSpecification
EntryPoint httpMethod Text
Airline iataCode Text
Airport iataCode Text
Airport icaoCode Text
Book illustrator Person
MusicRecording inAlbum MusicAlbum
BroadcastChannel inBroadcastLineup CableOrSatelliteService
MusicRecording inPlaylist MusicPlaylist
JobPosting incentives Text
MusicComposition includedComposition MusicComposition
Dataset includedDataCatalog DataCatalog
Demand includesObject TypeAndQuantityNode
Offer includesObject TypeAndQuantityNode
JobPosting industry DefinedTerm
JobPosting industry Text
